"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.800062096E0;-1.180385590E0;-1.790246964E0;-1.738780737E-1
1.809535013E0;-1.326571226E0;-2.059655190E0;-6.502122879E-1
1.819007929E0;-1.839116096E0;-1.727741718E0;-5.727903843E-1
1.828480846E0;-2.199977875E0;-1.397587776E0;-2.563030720E-1
1.837953763E0;-2.663385630E0;-1.095471382E0;-1.185150146E-1
1.847426679E0;-2.950592995E0;-8.960075378E-1;-1.600146294E-2
1.856899648E0;-3.030535460E0;-6.668672562E-1;-5.232071877E-2
1.866372565E0;-2.511832952E0;-4.321689606E-1;-1.869915724E-1
1.875845481E0;-1.864656210E0;-3.795938492E-1;-1.861135960E-1
1.885318398E0;-1.458339572E0;-4.443864822E-1;-2.449510098E-1
1.894791315E0;-1.135439277E0;-6.139125824E-1;-1.386096478E-1
1.904264231E0;-8.031581640E-1;-1.041129112E0;-3.919078112E-1
1.913737148E0;-4.045879841E-1;-1.554699421E0;-8.066010475E-1
1.923210117E0;-4.832797050E-1;-1.822548389E0;-1.181292534E0
1.932683034E0;-8.440506458E-1;-1.839823723E0;-1.883918047E0
1.942155950E0;-1.253205895E0;-1.661211967E0;-2.374146938E0
1.951628867E0;-2.045423985E0;-1.558814526E0;-2.573279858E0
1.961101784E0;-2.158067226E0;-7.965021133E-1;-1.182113528E0
1.970574700E0;-7.054634094E-1;3.920515060E0;5.465217113E0
1.980047617E0;3.138864040E0;1.181378078E1;1.124192429E1
1.989520534E0;4.051242352E0;1.600605774E1;5.746934891E0
1.998993502E0;1.786810756E0;8.589930534E0;-4.345180035E0
2.008466419E0;4.932652473E0;-4.195929527E0;-5.783306599E0
2.017939336E0;2.545514345E0;-9.232923508E0;-2.105541229E0
2.027412252E0;-5.074557304E0;-6.516291618E0;-1.750718594E0
2.036885169E0;-9.556109428E0;-4.000772953E0;-1.921800256E0
2.046358086E0;-6.428373814E0;-3.937222481E0;2.255477905E-1
2.055831002E0;-2.136108398E0;-2.824838161E0;-1.477392673E0
2.065303919E0;-2.535688877E0;1.210594177E0;-3.501725197E0
2.074776888E0;-8.164284706E0;6.163323402E0;-3.240795135E0
2.084249804E0;-1.272112179E1;6.277618408E0;1.775335073E-1
2.093722721E0;-1.098819447E1;1.766986847E0;5.281745434E0
2.103195638E0;-6.546247959E0;-1.618322849E0;4.777656555E0
2.112668554E0;-2.750461340E0;-1.410038948E0;4.275244474E-1
2.122141471E0;-3.728471994E-1;3.085441589E-1;-1.644818068E0
2.131614388E0;-1.341787875E-1;1.423211098E0;-2.384094715E0
2.141087304E0;-9.083093405E-1;1.309009552E0;-2.530910492E0
2.150560273E0;-1.397567034E0;1.009464264E-1;-1.344739437E0
2.160033190E0;-1.936727047E0;-5.621786118E-1;-8.188128471E-2
2.169506106E0;-2.679745197E0;-4.418563843E-2;5.396538973E-1
2.178979023E0;-3.163012505E0;7.499465942E-1;6.216155291E-1
2.188451940E0;-2.966375351E0;8.102626801E-1;3.354576826E-1
2.197924856E0;-2.389071941E0;4.528102875E-1;1.104731560E-1
2.207397773E0;-1.770963073E0;1.616153717E-1;1.302525997E-1
2.216870690E0;-1.035829544E0;1.126985550E-1;2.483057976E-2
2.226343606E0;-1.083103418E-1;1.902694702E-1;-1.002695560E-1
2.235816575E0;8.115288019E-1;1.053819656E-1;-6.991398335E-1
2.245289492E0;1.704378843E0;-1.406250000E-1;-9.884316921E-1
2.254762409E0;2.002905607E0;-3.754682541E-1;-8.120794296E-1
2.264235325E0;2.110793591E0;-4.466695786E-1;-5.575482845E-1
2.273708242E0;2.462042809E0;-4.712123871E-1;-3.828155994E-1
2.283181159E0;2.771614552E0;-2.775430679E-1;-6.877739429E-1
2.292654075E0;2.866569996E0;1.594543457E-2;-1.032326460E0
2.302126992E0;2.492904663E0;-2.753734589E-2;-1.336758137E0
2.311599909E0;1.933022738E0;-3.533706665E-1;-8.570222855E-1
